File,File.Name,Number.of.observations,population,measure,description,year,elig,race_code,sex_code,adjust,dual,url
,Mdcr_pmt_Final_long.csv,7497844,f,b,Medicare Reimbursement,2,,,,,,mdcr_pmt_final_long_12_18
dual all,Dschrg_Final_long_dual_all.csv,9424772,f,d,Discharge Destination,2,,,,,.,dschrg_final_long_dual_all_12_18
dual 0,Dschrg_Final_long_dual_0.csv,8122052,f,d,Discharge Destination,2,,,,,0,dschrg_final_long_dual_0_12_18
dual 1,Dschrg_Final_long_dual_1.csv,6318880,f,d,Discharge Destination,2,,,,,1,dschrg_final_long_dual_1_12_18
,Ipdays_Final_long 12-18.csv,7497844,f,i,Inpatient Days,2,,,,,,ipdays_final_long_12_18
,Mortality_Final_long 12-18.csv,3944721,f,m,Mortality ,2,,,,,,mortality_final_long_12_18
dual all,Admsn_Final_long_dual_all.csv,9425012,f,n,Admission Type,2,,,,,.,admsn_final_long_dual_all_12_18
dual 0,Admsn_Final_long_dual_0.csv,8122188,f,n,Admission Type,2,,,,,0,admsn_final_long_dual_0_12_18
dual 1,Admsn_Final_long_dual_1.csv,6319016,f,n,Admission Type,2,,,,,1,admsn_final_long_dual_1_12_18
"year 2-7, fltr 1, dual all, eligcat all, sexcat all",Principalcost_Final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_all.csv,11686440,f,p,principal cost,2,.,,.,1,.,principalcost_final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_all
"year 2-7, fltr 1, dual 0, eligcat all, sexcat all",Principalcost_Final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_all.csv,9946465,f,p,principal cost,2,.,,.,1,0,principalcost_final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_all
"year 2-7, fltr 1, dual all, eligcat all, sexcat 1",Principalcost_Final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_1.csv,9025286,f,p,principal cost,2,.,,1,1,.,principalcost_final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_1
"year 2-7, fltr 1, dual 0, eligcat all, sexcat 1",Principalcost_Final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_1.csv,7699956,f,p,principal cost,2,.,,1,1,0,principalcost_final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_1
"year 2-7, fltr 1, dual all, eligcat all, sexcat 2",Principalcost_Final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_2.csv,9795167,f,p,principal cost,2,.,,2,1,.,principalcost_final_long_year_2_7_fltr_1_dual_all_eligcat_all_sexcat_2
"year 2-7, fltr 1, dual 0, eligcat all, sexcat 2",Principalcost_Final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_2.csv,8112130,f,p,principal cost,2,.,,2,1,0,principalcost_final_long_year_2_7_fltr_1_dual_0_eligcat_all_sexcat_2
"year 2-7, fltr 1, dual 1, eligcat all",Principalcost_Final_long_year_2_7_fltr_1_dual_1_eligcat_all.csv,19886046,f,p,principal cost,2,.,,,1,1,principalcost_final_long_year_2_7_fltr_1_dual_1_eligcat_all
"year 2-7, fltr 2, dual all, eligcat all",Principalcost_Final_long_year_2_7_fltr_2_dual_all_eligcat_all.csv,7158026,f,p,principal cost,2,.,,,2,.,principalcost_final_long_year_2_7_fltr_2_dual_all_eligcat_all
"year 2-7, fltr 2, dual 0, eligcat all",Principalcost_Final_long_year_2_7_fltr_2_dual_0_eligcat_all.csv,5990036,f,p,principal cost,2,.,,,2,0,principalcost_final_long_year_2_7_fltr_2_dual_0_eligcat_all
"year 2-7, fltr 2, dual 1, eligcat all",Principalcost_Final_long_year_2_7_fltr_2_dual_1_eligcat_all.csv,5224346,f,p,principal cost,2,.,,,2,1,principalcost_final_long_year_2_7_fltr_2_dual_1_eligcat_all
"fltr 1, dual all, eligcat 0, sexcat all",Principalcost_Final_long_fltr_1_dual_all_eligcat_0_sexcat_all.csv,9905318,f,p,principal cost,2,0,,.,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_0_sexcat_all
"fltr 1, dual 0, eligcat 0, sexcat all",Principalcost_Final_long_fltr_1_dual_0_eligcat_0_sexcat_all.csv,9112789,f,p,principal cost,2,0,,.,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_0_sexcat_all
"fltr 1, dual all, eligcat 0, sexcat 1",Principalcost_Final_long_fltr_1_dual_all_eligcat_0_sexcat_1.csv,7419561,f,p,principal cost,2,0,,1,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_0_sexcat_1
"fltr 1, dual 0, eligcat 0, sexcat 1",Principalcost_Final_long_fltr_1_dual_0_eligcat_0_sexcat_1.csv,6913513,f,p,principal cost,2,0,,1,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_0_sexcat_1
"fltr 1, dual all, eligcat 0, sexcat 2",Principalcost_Final_long_fltr_1_dual_all_eligcat_0_sexcat_2.csv,8456659,f,p,principal cost,2,0,,2,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_0_sexcat_2
"fltr 1, dual 0, eligcat 0, sexcat 2",Principalcost_Final_long_fltr_1_dual_0_eligcat_0_sexcat_2.csv,7654747,f,p,principal cost,2,0,,2,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_0_sexcat_2
"fltr 1, dual 1, eligcat 0",Principalcost_Final_long_fltr_1_dual_1_eligcat_0.csv,12893086,f,p,Principal Cost,2,0,,,1,1,principalcost_final_long_fltr_1_dual_1_eligcat_0
"fltr 2, dual all, eligcat 0",Principalcost_Final_long_fltr_2_dual_all_eligcat_0.csv,6886931,f,p,Principal Cost,2,0,,,2,.,principalcost_final_long_fltr_2_dual_all_eligcat_0
"fltr 2, dual 0, eligcat 0",Principalcost_Final_long_fltr_2_dual_0_eligcat_0.csv,6375699,f,p,Principal Cost,2,0,,,2,0,principalcost_final_long_fltr_2_dual_0_eligcat_0
"fltr 2, dual 1, eligcat 0",Principalcost_Final_long_fltr_2_dual_1_eligcat_0.csv,3471389,f,p,Principal Cost,2,0,,,2,1,principalcost_final_long_fltr_2_dual_1_eligcat_0
"fltr 1, dual all, eligcat 1, sexcat all",Principalcost_Final_long_fltr_1_dual_all_eligcat_1_sexcat_all.csv,9185084,f,p,principal cost,2,1,,.,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_1_sexcat_all
"fltr 1, dual all, eligcat 1, sexcat 1",Principalcost_Final_long_fltr_1_dual_all_eligcat_1_sexcat_1.csv,6816872,f,p,principal cost,2,1,,1,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_1_sexcat_1
"fltr 1, dual all, eligcat 1, sexcat 2",Principalcost_Final_long_fltr_1_dual_all_eligcat_1_sexcat_2.csv,7117722,f,p,principal cost,2,1,,2,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_1_sexcat_2
"fltr 1, dual 0, eligcat 1",Principalcost_Final_long_fltr_1_dual_0_eligcat_1.csv,16943607,f,p,Principal Cost,2,1,,,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_1
"fltr 1, dual 1, eligcat 1",Principalcost_Final_long_fltr_1_dual_1_eligcat_1.csv,16591943,f,p,Principal Cost,2,1,,,1,1,principalcost_final_long_fltr_1_dual_1_eligcat_1
"fltr 2, dual all, eligcat 1",Principalcost_Final_long_fltr_2_dual_all_eligcat_1.csv,6871434,f,p,Principal Cost,2,1,,,2,.,principalcost_final_long_fltr_2_dual_all_eligcat_1
"fltr 2, dual 0, eligcat 1",Principalcost_Final_long_fltr_2_dual_0_eligcat_1.csv,4793434,f,p,Principal Cost,2,1,,,2,0,principalcost_final_long_fltr_2_dual_0_eligcat_1
"fltr 2, dual 1, eligcat 1",Principalcost_Final_long_fltr_2_dual_1_eligcat_1.csv,5645615,f,p,Principal Cost,2,1,,,2,1,principalcost_final_long_fltr_2_dual_1_eligcat_1
"fltr 1, dual all, eligcat 2",Principalcost_Final_long_fltr_1_dual_all_eligcat_2.csv,1541227,f,p,Principal Cost,2,2,,,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_2
"fltr 1, dual 0, eligcat 2",Principalcost_Final_long_fltr_1_dual_0_eligcat_2.csv,835429,f,p,Principal Cost,2,2,,,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_2
"fltr 1, dual 1, eligcat 2",Principalcost_Final_long_fltr_1_dual_1_eligcat_2.csv,860766,f,p,Principal Cost,2,2,,,1,1,principalcost_final_long_fltr_1_dual_1_eligcat_2
"fltr 2, dual all, eligcat 2",Principalcost_Final_long_fltr_2_dual_all_eligcat_2.csv,574149,f,p,Principal Cost,2,2,,,2,.,principalcost_final_long_fltr_2_dual_all_eligcat_2
"fltr 2, dual 0, eligcat 2",Principalcost_Final_long_fltr_2_dual_0_eligcat_2.csv,277932,f,p,Principal Cost,2,2,,,2,0,principalcost_final_long_fltr_2_dual_0_eligcat_2
"fltr 2, dual 1, eligcat 2",Principalcost_Final_long_fltr_2_dual_1_eligcat_2.csv,359124,f,p,Principal Cost,2,2,,,2,1,principalcost_final_long_fltr_2_dual_1_eligcat_2
"fltr 1, dual all, eligcat 3",Principalcost_Final_long_fltr_1_dual_all_eligcat_3.csv,1906692,f,p,Principal Cost,2,3,,,1,.,principalcost_final_long_fltr_1_dual_all_eligcat_3
"fltr 1, dual 0, eligcat 3",Principalcost_Final_long_fltr_1_dual_0_eligcat_3.csv,1033267,f,p,Principal Cost,2,3,,,1,0,principalcost_final_long_fltr_1_dual_0_eligcat_3
"fltr 1, dual 1, eligcat 3",Principalcost_Final_long_fltr_1_dual_1_eligcat_3.csv,1041144,f,p,Principal Cost,2,3,,,1,1,principalcost_final_long_fltr_1_dual_1_eligcat_3
"fltr 2, dual all, eligcat 3",Principalcost_Final_long_fltr_2_dual_all_eligcat_3.csv,753220,f,p,Principal Cost,2,3,,,2,.,principalcost_final_long_fltr_2_dual_all_eligcat_3
"fltr 2, dual 0, eligcat 3",Principalcost_Final_long_fltr_2_dual_0_eligcat_3.csv,372203,f,p,Principal Cost,2,3,,,2,0,principalcost_final_long_fltr_2_dual_0_eligcat_3
"fltr 2, dual 1, eligcat 3",Principalcost_Final_long_fltr_2_dual_1_eligcat_3.csv,446589,f,p,Principal Cost,2,3,,,2,1,principalcost_final_long_fltr_2_dual_1_eligcat_3
,Readmission_Final_long 12-18.csv,10064948,f,r,Readmission ,2,,,,,,readmission_final_long_12_18
sexcat all,PSI_Final_long_sex_all.csv,15317798,f,s,PSI,2,,,.,,,psi_final_long_sex_all_12_18
sexcat 1,PSI_Final_long_sex_1.csv,11246642,f,s,PSI,2,,,1,,,psi_final_long_sex_1_12_18
sexcat 2,PSI_Final_long_sex_2.csv,11723352,f,s,PSI,2,,,2,,,psi_final_long_sex_2_12_18
"year 2, dual all",Riskcost_Final_long_year_2_dual_all.csv,15733645,f,a,Risk-adj Total Cost,2,,,,,.,riskcost_final_long_year_2_dual_all
"year 2, dual 0",Riskcost_Final_long_year_2_dual_0.csv,12779453,f,a,Risk-adj Total Cost,2,,,,,0,riskcost_final_long_year_2_dual_0
"year 2, dual 1",Riskcost_Final_long_year_2_dual_1.csv,10137954,f,a,Risk-adj Total Cost,2,,,,,1,riskcost_final_long_year_2_dual_1
"year 3, dual all",Riskcost_Final_long_year_3_dual_all.csv,15861139,f,a,Risk-adj Total Cost,3,,,,,.,riskcost_final_long_year_3_dual_all
"year 3, dual 0",Riskcost_Final_long_year_3_dual_0.csv,12925591,f,a,Risk-adj Total Cost,3,,,,,0,riskcost_final_long_year_3_dual_0
"year 3, dual 1",Riskcost_Final_long_year_3_dual_1.csv,10174700,f,a,Risk-adj Total Cost,3,,,,,1,riskcost_final_long_year_3_dual_1
"year 4, dual all",Riskcost_Final_long_year_4_dual_all.csv,15954102,f,a,Risk-adj Total Cost,4,,,,,.,riskcost_final_long_year_4_dual_all
"year 4, dual 0",Riskcost_Final_long_year_4_dual_0.csv,13053180,f,a,Risk-adj Total Cost,4,,,,,0,riskcost_final_long_year_4_dual_0
"year 4, dual 1",Riskcost_Final_long_year_4_dual_1.csv,10148895,f,a,Risk-adj Total Cost,4,,,,,1,riskcost_final_long_year_4_dual_1
"year 5, dual all",Riskcost_Final_long_year_5_dual_all.csv,16208544,f,a,Risk-adj Total Cost,5,,,,,.,riskcost_final_long_year_5_dual_all
"year 5, dual 0",Riskcost_Final_long_year_5_dual_0.csv,13324672,f,a,Risk-adj Total Cost,5,,,,,0,riskcost_final_long_year_5_dual_0
"year 5, dual 1",Riskcost_Final_long_year_5_dual_1.csv,10233574,f,a,Risk-adj Total Cost,5,,,,,1,riskcost_final_long_year_5_dual_1
"year 6, dual all",Riskcost_Final_long_year_6_dual_all.csv,16625121,f,a,Risk-adj Total Cost,6,,,,,.,riskcost_final_long_year_6_dual_all
"year 6, dual 0",Riskcost_Final_long_year_6_dual_0.csv,13650033,f,a,Risk-adj Total Cost,6,,,,,0,riskcost_final_long_year_6_dual_0
"year 6, dual 1",Riskcost_Final_long_year_6_dual_1.csv,10534325,f,a,Risk-adj Total Cost,6,,,,,1,riskcost_final_long_year_6_dual_1
"year 7, dual all",Riskcost_Final_long_year_7_dual_all.csv,16804521,f,a,Risk-adj Total Cost,7,,,,,.,riskcost_final_long_year_7_dual_all
"year 7, dual 0",Riskcost_Final_long_year_7_dual_0.csv,13817311,f,a,Risk-adj Total Cost,7,,,,,0,riskcost_final_long_year_7_dual_0
"year 7, dual 1",Riskcost_Final_long_year_7_dual_1.csv,10623317,f,a,Risk-adj Total Cost,7,,,,,1,riskcost_final_long_year_7_dual_1
"year 8, dual all",Riskcost_Final_long_year_8_dual_all.csv,16875335,f,a,Risk-adj Total Cost,8,,,,,.,riskcost_final_long_year_8_dual_all
"year 8, dual 0",Riskcost_Final_long_year_8_dual_0.csv,13912761,f,a,Risk-adj Total Cost,8,,,,,0,riskcost_final_long_year_8_dual_0
"year 8, dual 1",Riskcost_Final_long_year_8_dual_1.csv,10587870,f,a,Risk-adj Total Cost,8,,,,,1,riskcost_final_long_year_8_dual_1
,Mdcr_pmt_Final_long.csv,7497844,f,b,Medicare Reimbursement,345678,,,,,,mdcr_pmt_final_long_12_18
"year 2, eligcat all , dual all",Precare_Final_long_year_2_eligcat_all_dual_all.csv,10582030,f,c,preventive care,2,.,,,,.,precare_final_long_year_2_eligcat_all_dual_all
"year 2, eligcat all , dual 0",Precare_Final_long_year_2_eligcat_all_dual_0.csv,9804248,f,c,preventive care,2,.,,,,0,precare_final_long_year_2_eligcat_all_dual_0
"year 2, eligcat all , dual 1",Precare_Final_long_year_2_eligcat_all_dual_1.csv,8357767,f,c,preventive care,2,.,,,,1,precare_final_long_year_2_eligcat_all_dual_1
"year 2, eligcat 0, dual all",Precare_Final_long_year_2_eligcat_0_dual_all.csv,8452124,f,c,preventive care,2,0,,,,.,precare_final_long_year_2_eligcat_0_dual_all
"year 2, eligcat 0, dual 0",Precare_Final_long_year_2_eligcat_0_dual_0.csv,8065326,f,c,preventive care,2,0,,,,0,precare_final_long_year_2_eligcat_0_dual_0
"year 2, eligcat 0, dual 1",Precare_Final_long_year_2_eligcat_0_dual_1.csv,6121537,f,c,preventive care,2,0,,,,1,precare_final_long_year_2_eligcat_0_dual_1
